ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,SupplierName
10,美的 智能开关 Elite,9,14,2个/包,397.06,928,24,43,0,智能开关,美的智能科技
23,美的 智能摄像头 Max,9,5,1台/件,7702.06,799,200,65,0,智能摄像头,美的智能科技
52,美的 智能加湿器 Advanced,9,18,3个/套,8701.05,725,177,22,0,智能加湿器,美的智能科技
74,美的 智能门锁 Plus,9,4,1台/件,2372.33,490,40,62,0,智能门锁,美的智能科技
83,美的 智能门锁 Lite,9,4,1个/件,9995.81,987,35,87,0,智能门锁,美的智能科技
91,美的 智能冰箱 Basic,9,8,1台/件,5678.55,252,106,82,0,智能冰箱,美的智能科技
7,格力 智能空调 Elite,10,10,1个/件,7395.36,309,197,11,0,智能空调,格力智能电器
45,格力 智能门铃 Lite,10,20,1套/箱,2435.05,666,55,90,0,智能门铃,格力智能电器
55,格力 智能音箱 Lite,10,1,1台/件,7399.58,386,43,63,0,智能音箱,格力智能电器
59,格力 智能空调 Plus,10,10,3个/套,3649.65,708,10,13,0,智能空调,格力智能电器
63,格力 智能手环 Basic,10,13,1个/盒,6993.23,639,147,29,0,智能手环,格力智能电器
67,格力 智能窗帘 Plus,10,6,3个/套,7257.95,227,109,56,1,智能窗帘,格力智能电器
75,格力 智能体重秤 Elite,10,12,1个/件,8801.7,916,169,93,1,智能体重秤,格力智能电器
98,格力 智能空调 Pro,10,10,1台/箱,6100.45,85,87,94,0,智能空调,格力智能电器
1,博世 智能洗衣机 Ultra,11,9,5个/套,8644.19,644,31,37,0,智能洗衣机,博世智能系统
9,博世 智能电饭煲 Ultra,11,19,3个/套,1856.75,551,78,15,0,智能电饭煲,博世智能系统
15,博世 智能洗衣机 Elite,11,9,1个/盒,6092.06,454,55,98,0,智能洗衣机,博世智能系统
22,博世 智能空调 Pro,11,10,1套/箱,2740.06,132,177,40,0,智能空调,博世智能系统
25,博世 智能扫地机器人 Advanced,11,7,1个/盒,2932.47,788,7,91,1,智能扫地机器人,博世智能系统
46,博世 智能电饭煲 Max,11,19,2个/包,4243.77,523,6,42,0,智能电饭煲,博世智能系统
62,博世 智能窗帘 Standard,11,6,5个/套,8656.89,20,160,53,0,智能窗帘,博世智能系统
69,博世 智能电饭煲 Ultra,11,19,2个/包,4624.43,216,141,68,0,智能电饭煲,博世智能系统
86,博世 智能洗衣机 Standard,11,9,1套/箱,4779.72,781,24,31,0,智能洗衣机,博世智能系统
87,博世 智能灯具 Mini,11,2,1个/件,4270.04,798,135,71,0,智能灯具,博世智能系统
3,西门子 智能空调 Mini,12,10,1个/件,2736.4,238,45,61,0,智能空调,西门子智能家居
5,西门子 智能空调 Lite,12,10,1个/盒,9191.94,778,162,76,0,智能空调,西门子智能家居
21,西门子 智能灯具 Elite,12,2,1套/箱,2798.9,912,142,71,0,智能灯具,西门子智能家居
31,西门子 智能音箱 Max,12,1,2个/包,3067.74,407,187,74,0,智能音箱,西门子智能家居
41,西门子 智能门铃 Mini,12,20,1个/盒,1330.88,532,135,95,0,智能门铃,西门子智能家居
51,西门子 智能电饭煲 Basic,12,19,5个/套,4670.22,906,149,45,0,智能电饭煲,西门子智能家居
80,西门子 智能体重秤 Advanced,12,12,1台/箱,7400.67,428,129,35,0,智能体重秤,西门子智能家居
39,松下 智能电视 Elite,13,11,1台/件,3937.89,657,60,10,0,智能电视,松下智能电器
56,松下 智能体重秤 Plus,13,12,1套/箱,9328.47,20,91,75,0,智能体重秤,松下智能电器
70,松下 智能电饭煲 Standard,13,19,1台/箱,6974.77,350,31,13,0,智能电饭煲,松下智能电器
77,松下 智能插座 Pro,13,3,1个/件,5319.34,856,15,66,0,智能插座,松下智能电器
89,松下 智能空气净化器 Ultra,13,17,1个/盒,2215.73,511,98,43,0,智能空气净化器,松下智能电器
90,松下 智能灯具 Mini,13,2,5个/套,5008.41,434,161,49,0,智能灯具,松下智能电器
92,松下 智能空气净化器 Lite,13,17,1台/件,5741.05,804,116,32,0,智能空气净化器,松下智能电器
93,松下 智能音箱 Standard,13,1,1套/箱,4331.88,177,35,72,0,智能音箱,松下智能电器
6,索尼 智能扫地机器人 Lite,14,7,1套/箱,607.89,758,31,51,0,智能扫地机器人,索尼智能科技
35,索尼 智能音箱 Standard,14,1,1台/件,8716.02,990,4,53,0,智能音箱,索尼智能科技
57,索尼 智能空调 Standard,14,10,1个/件,3138.36,649,2,37,0,智能空调,索尼智能科技
95,索尼 智能灯具 Advanced,14,2,1台/件,4857.72,826,156,51,0,智能灯具,索尼智能科技
2,LG 智能空气净化器 Basic,15,17,1台/件,6459.77,752,83,55,0,智能空气净化器,LG智能家电
27,LG 智能电饭煲 Basic,15,19,5个/套,4835.66,92,3,78,0,智能电饭煲,LG智能家电
37,LG 智能电视 Elite,15,11,1台/件,5973.2,918,152,15,0,智能电视,LG智能家电
53,LG 智能手环 Elite,15,13,1个/盒,4600.52,569,127,30,0,智能手环,LG智能家电
54,LG 智能灯具 Pro,15,2,1套/箱,3985.66,181,91,60,0,智能灯具,LG智能家电
88,LG 智能电视 Basic,15,11,1台/箱,7215.56,446,13,21,0,智能电视,LG智能家电
99,LG 智能扫地机器人 Advanced,15,7,1台/件,9014.12,25,64,73,0,智能扫地机器人,LG智能家电
